municipality,municipality_id,district,district_id,project_number,project_id,project_name,year,typology,sale_rate,lable,shape_Length,shape_Area
Abu Dhabi City,41,Al Reem Island,57,2023/161912,1402,Reem Hills - Phase 2D,2023,Apartment / Duplex,11345.000000000000000,11k-12k,1536.669224323757362,74075.915925899447757
Abu Dhabi City,41,Al Reem Island,57,2023/161912,1402,Reem Hills - Phase 2D,2024,Apartment / Duplex,11570.000000000000000,11k-12k,1536.669224323757362,74075.915925899447757
Abu Dhabi City,41,Al Reem Island,57,2023/161912,1402,Reem Hills - Phase 2D,2025,Apartment / Duplex,11396.000000000000000,10k-13k,1536.669224323757362,74075.915925899447757
Abu Dhabi City,41,Al Reem Island,57,2023/98820,1396,Reem Hills - Phase 2C,2023,Villa / Townhouse,11522.000000000000000,11k-12k,1916.299340137418085,136864.971249026304577
Abu Dhabi City,41,Al Reem Island,57,2023/98820,1396,Reem Hills - Phase 2C,2024,Villa / Townhouse,11403.000000000000000,10k-13k,1916.299340137418085,136864.971249026304577
Abu Dhabi City,41,Al Reem Island,57,2023/98820,1396,Reem Hills - Phase 2C,2025,Villa / Townhouse,11426.000000000000000,10k-13k,1916.299340137418085,136864.971249026304577
Abu Dhabi City,41,Al Reem Island,57,2023/99284,1395,Reem Hills - Phase 2B,2023,Villa / Townhouse,11752.000000000000000,11k-13k,1645.468270592955378,136966.055593991914066
Abu Dhabi City,41,Al Reem Island,57,2023/99284,1395,Reem Hills - Phase 2B,2024,Villa / Townhouse,11638.000000000000000,10k-13k,1645.468270592955378,136966.055593991914066
Abu Dhabi City,41,Al Reem Island,57,2023/99284,1395,Reem Hills - Phase 2B,2025,Villa / Townhouse,11523.000000000000000,10k-13k,1645.468270592955378,136966.055593991914066
Abu Dhabi City,41,Yas Island,1330,2023/96930,1394,The Sustainable City Yas Island - Phase 1,2023,Apartment / Duplex,13175.000000000000000,12k-15k,2708.615008754909923,396554.046902588452213
Abu Dhabi City,41,Yas Island,1330,2023/96930,1394,The Sustainable City Yas Island - Phase 1,2023,Villa / Townhouse,12113.000000000000000,11k-13k,2708.615008754909923,396554.046902588452213
Abu Dhabi City,41,Yas Island,1330,2023/96930,1394,The Sustainable City Yas Island - Phase 1,2024,Apartment / Duplex,13051.000000000000000,12k-15k,2708.615008754909923,396554.046902588452213
Abu Dhabi City,41,Yas Island,1330,2023/96930,1394,The Sustainable City Yas Island - Phase 1,2024,Villa / Townhouse,12074.000000000000000,11k-13k,2708.615008754909923,396554.046902588452213
Abu Dhabi City,41,Yas Island,1330,2023/96930,1394,The Sustainable City Yas Island - Phase 1,2025,Apartment / Duplex,12802.000000000000000,11k-14k,2708.615008754909923,396554.046902588452213
Abu Dhabi City,41,Yas Island,1330,2023/96930,1394,The Sustainable City Yas Island - Phase 1,2025,Villa / Townhouse,12143.000000000000000,11k-13k,2708.615008754909923,396554.046902588452213
Abu Dhabi City,41,Al Reem Island,57,2022/602929,1383,Reem Nine ,2023,Apartment / Duplex,16071.000000000000000,14k-18k,250.140001644481231,4182.754288559018278
Abu Dhabi City,41,Al Reem Island,57,2022/602929,1383,Reem Nine ,2024,Apartment / Duplex,16478.000000000000000,16k-17k,250.140001644481231,4182.754288559018278
Abu Dhabi City,41,Al Reem Island,57,2022/602929,1383,Reem Nine ,2025,Apartment / Duplex,16889.000000000000000,15k-19k,250.140001644481231,4182.754288559018278
Abu Dhabi City,41,Yas Island,1330,2022/611769,1382,The Bay Residence ,2023,Apartment / Duplex,16311.000000000000000,15k-18k,297.844362357672708,5762.522915549402569
Abu Dhabi City,41,Yas Island,1330,2022/611769,1382,The Bay Residence ,2024,Apartment / Duplex,16894.000000000000000,16k-17k,297.844362357672708,5762.522915549402569
Abu Dhabi City,41,Yas Island,1330,2022/611769,1382,The Bay Residence ,2025,Apartment / Duplex,18179.000000000000000,18k-19k,297.844362357672708,5762.522915549402569
Abu Dhabi City,41,Al Reem Island,57,2022/432229,1376,Reem Hills - Phase 1B,2022,Villa / Townhouse,10764.000000000000000,10k-12k,3674.301975452477109,323071.788448641076684
Abu Dhabi City,41,Al Reem Island,57,2022/432229,1376,Reem Hills - Phase 1B,2023,Villa / Townhouse,10842.000000000000000,10k-12k,3674.301975452477109,323071.788448641076684
Abu Dhabi City,41,Al Reem Island,57,2022/432229,1376,Reem Hills - Phase 1B,2024,Villa / Townhouse,10811.000000000000000,10k-12k,3674.301975452477109,323071.788448641076684
Abu Dhabi City,41,Al Reem Island,57,2022/432229,1376,Reem Hills - Phase 1B,2025,Villa / Townhouse,10941.000000000000000,10k-12k,3674.301975452477109,323071.788448641076684
Abu Dhabi City,41,Al Reem Island,57,2022/434291,1375,Reem Hills - Phase 1C,2022,Villa / Townhouse,10873.000000000000000,10k-12k,2330.201646732262361,105815.239269331446849
Abu Dhabi City,41,Al Reem Island,57,2022/434291,1375,Reem Hills - Phase 1C,2023,Villa / Townhouse,10796.000000000000000,10k-12k,2330.201646732262361,105815.239269331446849
Abu Dhabi City,41,Al Reem Island,57,2022/434291,1375,Reem Hills - Phase 1C,2024,Villa / Townhouse,10753.000000000000000,10k-12k,2330.201646732262361,105815.239269331446849
Abu Dhabi City,41,Al Reem Island,57,2022/434291,1375,Reem Hills - Phase 1C,2025,Villa / Townhouse,10743.000000000000000,10k-12k,2330.201646732262361,105815.239269331446849
Abu Dhabi City,41,Yas Island,1330,2022/423328,1366,NOYA 5 - YAS PARK VIEWS ,2022,Villa / Townhouse,15526.000000000000000,14k-17k,3233.326240055501785,283860.801308808731847
Abu Dhabi City,41,Yas Island,1330,2022/423328,1366,NOYA 5 - YAS PARK VIEWS ,2023,Villa / Townhouse,15097.000000000000000,15k-16k,3233.326240055501785,283860.801308808731847
Abu Dhabi City,41,Yas Island,1330,2022/423328,1366,NOYA 5 - YAS PARK VIEWS ,2024,Villa / Townhouse,15238.000000000000000,15k-16k,3233.326240055501785,283860.801308808731847
Abu Dhabi City,41,Yas Island,1330,2022/423328,1366,NOYA 5 - YAS PARK VIEWS ,2025,Villa / Townhouse,15350.000000000000000,14k-17k,3233.326240055501785,283860.801308808731847
Abu Dhabi City,41,Yas Island,1330,2022/395105,1363,NOYA 4 - YAS PARK GATE,2022,Villa / Townhouse,14538.000000000000000,14k-15k,2487.211176931425143,255967.315066273236880
Abu Dhabi City,41,Yas Island,1330,2022/395105,1363,NOYA 4 - YAS PARK GATE,2023,Villa / Townhouse,14380.000000000000000,13k-16k,2487.211176931425143,255967.315066273236880
Abu Dhabi City,41,Yas Island,1330,2022/395105,1363,NOYA 4 - YAS PARK GATE,2024,Villa / Townhouse,14582.000000000000000,14k-15k,2487.211176931425143,255967.315066273236880
Abu Dhabi City,41,Yas Island,1330,2022/395105,1363,NOYA 4 - YAS PARK GATE,2025,Villa / Townhouse,14586.000000000000000,14k-15k,2487.211176931425143,255967.315066273236880
Abu Dhabi City,41,Yas Island,1330,2022/363936,1362,Perla 2,2023,Apartment / Duplex,10581.000000000000000,10k-11k,353.649257003221635,4984.590226047196666
Abu Dhabi City,41,Yas Island,1330,2022/363936,1362,Perla 2,2024,Apartment / Duplex,10438.000000000000000,10k-11k,353.649257003221635,4984.590226047196666
Abu Dhabi City,41,Yas Island,1330,2022/363936,1362,Perla 2,2025,Apartment / Duplex,10927.000000000000000,10k-12k,353.649257003221635,4984.590226047196666
Abu Dhabi City,41,Yas Island,1330,2022/334087,1359,Ansam 2 - Yas Golf Collection,2022,Apartment / Duplex,16606.000000000000000,15k-18k,1506.828660277221616,86688.731568671370042
Abu Dhabi City,41,Yas Island,1330,2022/334087,1359,Ansam 2 - Yas Golf Collection,2023,Apartment / Duplex,17096.000000000000000,15k-19k,1506.828660277221616,86688.731568671370042
Abu Dhabi City,41,Yas Island,1330,2022/334087,1359,Ansam 2 - Yas Golf Collection,2024,Apartment / Duplex,17472.000000000000000,17k-18k,1506.828660277221616,86688.731568671370042
Abu Dhabi City,41,Yas Island,1330,2022/334087,1359,Ansam 2 - Yas Golf Collection,2025,Apartment / Duplex,17250.000000000000000,15k-19k,1506.828660277221616,86688.731568671370042
Abu Dhabi City,41,Al Reem Island,57,2022/110193,1339,Reem Hills – Phase 1A,2022,Villa / Townhouse,11835.000000000000000,11k-13k,3499.786326161367469,717780.931558725424111
Abu Dhabi City,41,Al Reem Island,57,2022/110193,1339,Reem Hills – Phase 1A,2023,Villa / Townhouse,11883.000000000000000,11k-13k,3499.786326161367469,717780.931558725424111
Abu Dhabi City,41,Al Reem Island,57,2022/110193,1339,Reem Hills – Phase 1A,2024,Villa / Townhouse,11972.000000000000000,11k-13k,3499.786326161367469,717780.931558725424111
Abu Dhabi City,41,Al Reem Island,57,2022/110193,1339,Reem Hills – Phase 1A,2025,Villa / Townhouse,11966.000000000000000,11k-13k,3499.786326161367469,717780.931558725424111
Abu Dhabi City,41,Yas Island,1330,2021/401179,1290,DIVA 1,2022,Apartment / Duplex,11807.000000000000000,11k-13k,264.707134433733131,4282.657881516840462
Abu Dhabi City,41,Yas Island,1330,2021/401179,1290,DIVA 1,2023,Apartment / Duplex,13013.000000000000000,12k-14k,264.707134433733131,4282.657881516840462
Abu Dhabi City,41,Yas Island,1330,2021/401179,1290,DIVA 1,2024,Apartment / Duplex,13905.000000000000000,12k-16k,264.707134433733131,4282.657881516840462
Abu Dhabi City,41,Yas Island,1330,2021/401179,1290,DIVA 1,2025,Apartment / Duplex,14270.000000000000000,14k-15k,264.707134433733131,4282.657881516840462
Abu Dhabi City,41,Yas Island,1330,2021/311211,1287,Diva 2,2022,Apartment / Duplex,12404.000000000000000,11k-14k,270.462609718841236,4166.448478047963363
Abu Dhabi City,41,Yas Island,1330,2021/311211,1287,Diva 2,2023,Apartment / Duplex,13248.000000000000000,12k-14k,270.462609718841236,4166.448478047963363
Abu Dhabi City,41,Yas Island,1330,2021/311211,1287,Diva 2,2024,Apartment / Duplex,14266.000000000000000,12k-16k,270.462609718841236,4166.448478047963363
Abu Dhabi City,41,Yas Island,1330,2021/311211,1287,Diva 2,2025,Apartment / Duplex,13867.000000000000000,12k-16k,270.462609718841236,4166.448478047963363
Abu Dhabi City,41,Al Reem Island,57,2021/265990,1283,One Reem Island,2023,Apartment / Duplex,18405.000000000000000,17k-20k,248.510086142789703,3752.685704237724622
Abu Dhabi City,41,Al Reem Island,57,2021/253289,1280,Radiant Square,2024,Apartment / Duplex,11248.000000000000000,10k-13k,558.618780268949990,17669.038628156889899
Abu Dhabi City,41,Al Reem Island,57,2021/253289,1280,Radiant Square,2025,Apartment / Duplex,11490.000000000000000,11k-12k,558.618780268949990,17669.038628156889899
Abu Dhabi City,41,Yas Island,1330,2020/540783,1268,NOYA - Phase 1,2020,Villa / Townhouse,11786.000000000000000,11k-13k,1874.457914689599875,212638.084029835299589
Abu Dhabi City,41,Yas Island,1330,2020/540783,1268,NOYA - Phase 1,2021,Villa / Townhouse,11646.000000000000000,10k-13k,1874.457914689599875,212638.084029835299589
Abu Dhabi City,41,Yas Island,1330,2020/540783,1268,NOYA - Phase 1,2022,Villa / Townhouse,11707.000000000000000,10k-13k,1874.457914689599875,212638.084029835299589
Abu Dhabi City,41,Yas Island,1330,2020/540783,1268,NOYA - Phase 1,2023,Villa / Townhouse,11838.000000000000000,10k-13k,1874.457914689599875,212638.084029835299589
Abu Dhabi City,41,Yas Island,1330,2020/540783,1268,NOYA - Phase 1,2024,Villa / Townhouse,14134.000000000000000,12k-16k,1874.457914689599875,212638.084029835299589
Abu Dhabi City,41,Yas Island,1330,2020/540783,1268,NOYA - Phase 1,2025,Villa / Townhouse,18292.000000000000000,17k-20k,1874.457914689599875,212638.084029835299589
Abu Dhabi City,41,Yas Island,1330,2020/410062,1266,Yas Beach Residence,2020,Apartment / Duplex,9631.000000000000000,9k-10k,565.173613504499599,8923.395837044445216
Abu Dhabi City,41,Yas Island,1330,2020/410062,1266,Yas Beach Residence,2021,Apartment / Duplex,10538.000000000000000,10k-11k,565.173613504499599,8923.395837044445216
Abu Dhabi City,41,Yas Island,1330,2020/410062,1266,Yas Beach Residence,2022,Apartment / Duplex,10922.000000000000000,10k-12k,565.173613504499599,8923.395837044445216
Abu Dhabi City,41,Yas Island,1330,2020/410062,1266,Yas Beach Residence,2023,Apartment / Duplex,10760.000000000000000,10k-11k,565.173613504499599,8923.395837044445216
Abu Dhabi City,41,Yas Island,1330,2020/410062,1266,Yas Beach Residence,2024,Apartment / Duplex,9119.000000000000000,8k-10k,565.173613504499599,8923.395837044445216
Abu Dhabi City,41,Yas Island,1330,2020/410062,1266,Yas Beach Residence,2025,Apartment / Duplex,8408.000000000000000,7k-9k,565.173613504499599,8923.395837044445216
Abu Dhabi City,41,Al Reem Island,57,2018/108970,1192,PIXEL  ,2019,Apartment / Duplex,12862.000000000000000,12k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/108970,1192,PIXEL  ,2020,Apartment / Duplex,13041.000000000000000,13k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/108970,1192,PIXEL  ,2021,Apartment / Duplex,13679.000000000000000,13k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/108970,1192,PIXEL  ,2022,Apartment / Duplex,13321.000000000000000,13k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/108970,1192,PIXEL  ,2023,Apartment / Duplex,13043.000000000000000,12k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/108970,1192,PIXEL  ,2024,Apartment / Duplex,14413.000000000000000,13k-16k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/108970,1192,PIXEL  ,2025,Apartment / Duplex,14695.000000000000000,14k-15k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Yas Island,1330,20250000476165,2255,Yas Links Luxury Living ,2025,Apartment / Duplex,32740.000000000000000,29k-36k,652.492905419048384,17392.136806380000053
Abu Dhabi City,41,Yas Island,1330,20250000452216,2256,Opula Residences  - Yas Bay,2025,Apartment / Duplex,19404.000000000000000,19k-20k,266.341275125339109,4567.808325960857474
Abu Dhabi City,41,Yas Island,1330,20240000404571,2245,Selina Bay,2025,Apartment / Duplex,13001.000000000000000,12k-15k,482.985024739757023,11812.984057307428884
Abu Dhabi City,41,Al Reem Island,57,2025-02,10000005,MAYAR,2025,Apartment / Duplex,16007.000000000000000,14k-18k,1208.074375738276103,81475.154485948383808
Abu Dhabi City,41,Al Reem Island,57,2025-01,10000004,Thoraya,2025,Villa / Townhouse,16005.000000000000000,14k-18k,1376.930676179472584,91462.555355852964567
Abu Dhabi City,41,Al Reem Island,57,2025-04,10000006,Oasis Residences 2,2025,Apartment / Duplex,15166.000000000000000,13k-17k,181.076748821523523,2054.991149889734515
Abu Dhabi City,41,Al Reem Island,57,2025-03,10000008,Saas Heights,2025,Apartment / Duplex,19152.000000000000000,17k-21k,188.039065796572260,2346.096229657429376
Abu Dhabi City,41,Al Reem Island,57,20240000345024,2237,Radiant Marina Towers,2025,Apartment / Duplex,15976.000000000000000,14k-18k,477.621438096780935,10582.980957292680614
Abu Dhabi City,41,Al Reem Island,57,20240000322292,2230,RIVAGE,2025,Apartment / Duplex,16781.000000000000000,15k-19k,331.014485558432909,6029.511077197299528
Abu Dhabi City,41,Al Reem Island,57,20230000056992,2213,Vista 3,2025,Apartment / Duplex,12862.000000000000000,11k-15k,290.992321347407085,4771.038194031724743
Abu Dhabi City,41,Al Reem Island,57,20240000214830,1447,OHANA REAL ESTATE DEVELOPMENT ELIE SAAB TOWER AL REEM,2024,Apartment / Duplex,19108.000000000000000,17k-21k,277.699511291812598,5049.198137412825417
Abu Dhabi City,41,Al Reem Island,57,20240000214830,1447,OHANA REAL ESTATE DEVELOPMENT ELIE SAAB TOWER AL REEM,2025,Apartment / Duplex,19502.000000000000000,19k-20k,277.699511291812598,5049.198137412825417
Abu Dhabi City,41,Yas Island,1330,2022/351584,1361,Perla 1,2023,Apartment / Duplex,10665.000000000000000,10k-11k,422.073126272612797,5997.187609482914013
Abu Dhabi City,41,Yas Island,1330,2022/351584,1361,Perla 1,2024,Apartment / Duplex,11798.000000000000000,11k-12k,422.073126272612797,5997.187609482914013
Abu Dhabi City,41,Yas Island,1330,2022/351584,1361,Perla 1,2025,Apartment / Duplex,12473.000000000000000,12k-13k,422.073126272612797,5997.187609482914013
Abu Dhabi City,41,Al Reem Island,57,2022/513435,1379,Boardwalk Residents ,2024,Apartment / Duplex,13166.000000000000000,12k-15k,208.458353603876930,2483.841823100436159
Abu Dhabi City,41,Al Reem Island,57,2022/513435,1379,Boardwalk Residents ,2025,Apartment / Duplex,13223.000000000000000,12k-15k,208.458353603876930,2483.841823100436159
Abu Dhabi City,41,Al Reem Island,57,20240000189025,1448,Oasis Residences,2024,Apartment / Duplex,13963.000000000000000,12k-15k,175.255903767868091,1936.335946961181889
Abu Dhabi City,41,Al Reem Island,57,20240000189025,1448,Oasis Residences,2025,Apartment / Duplex,13999.000000000000000,12k-16k,175.255903767868091,1936.335946961181889
Abu Dhabi City,41,Al Reem Island,57,2021/430340,1291,Mangroves Place,2019,Apartment / Duplex,8488.000000000000000,8k-9k,398.756792046411874,6490.871802193125404
Abu Dhabi City,41,Al Reem Island,57,2021/430340,1291,Mangroves Place,2020,Apartment / Duplex,8517.000000000000000,8k-9k,398.756792046411874,6490.871802193125404
Abu Dhabi City,41,Al Reem Island,57,2021/430340,1291,Mangroves Place,2021,Apartment / Duplex,8458.000000000000000,8k-9k,398.756792046411874,6490.871802193125404
Abu Dhabi City,41,Al Reem Island,57,2021/430340,1291,Mangroves Place,2022,Apartment / Duplex,8120.000000000000000,7k-9k,398.756792046411874,6490.871802193125404
Abu Dhabi City,41,Al Reem Island,57,2021/430340,1291,Mangroves Place,2023,Apartment / Duplex,7891.000000000000000,7k-9k,398.756792046411874,6490.871802193125404
Abu Dhabi City,41,Al Reem Island,57,2021/430340,1291,Mangroves Place,2024,Apartment / Duplex,10741.000000000000000,9k-12k,398.756792046411874,6490.871802193125404
Abu Dhabi City,41,Al Reem Island,57,2021/430340,1291,Mangroves Place,2025,Apartment / Duplex,11778.000000000000000,11k-13k,398.756792046411874,6490.871802193125404
Abu Dhabi City,41,Yas Island,1330,2021/300888,1285,West Yas Plots,2020,Villa Plot,2966.000000000000000,2.7k-3.3k,6082.429351185276573,423506.049229465192184
Abu Dhabi City,41,Yas Island,1330,2021/300888,1285,West Yas Plots,2021,Villa Plot,2981.000000000000000,2.7k-3.3k,6082.429351185276573,423506.049229465192184
Abu Dhabi City,41,Yas Island,1330,2021/300888,1285,West Yas Plots,2024,Villa Plot,3426.000000000000000,3k-4k,6082.429351185276573,423506.049229465192184
Abu Dhabi City,41,Yas Island,1330,2021/300888,1285,West Yas Plots,2025,Villa Plot,3432.000000000000000,3k-4k,6082.429351185276573,423506.049229465192184
Abu Dhabi City,41,Al Reem Island,57,2021/263215,1282,Reem Five,2022,Apartment / Duplex,17957.000000000000000,16k-20k,177.166387719632610,1920.692730440019204
Abu Dhabi City,41,Al Reem Island,57,2021/263215,1282,Reem Five,2024,Apartment / Duplex,18579.000000000000000,17k-20k,177.166387719632610,1920.692730440019204
Abu Dhabi City,41,Al Reem Island,57,2021/263215,1282,Reem Five,2025,Apartment / Duplex,18971.000000000000000,17k-21k,177.166387719632610,1920.692730440019204
Abu Dhabi City,41,Yas Island,1330,2021/245801,1279,Noya Luma,2021,Villa / Townhouse,12761.000000000000000,11k-14k,2278.845675233854763,143095.556208689784398
Abu Dhabi City,41,Yas Island,1330,2021/245801,1279,Noya Luma,2022,Villa / Townhouse,12903.000000000000000,12k-14k,2278.845675233854763,143095.556208689784398
Abu Dhabi City,41,Yas Island,1330,2021/245801,1279,Noya Luma,2023,Villa / Townhouse,12906.000000000000000,12k-14k,2278.845675233854763,143095.556208689784398
Abu Dhabi City,41,Yas Island,1330,2021/245801,1279,Noya Luma,2024,Villa / Townhouse,13082.000000000000000,12k-14k,2278.845675233854763,143095.556208689784398
Abu Dhabi City,41,Yas Island,1330,2021/245801,1279,Noya Luma,2025,Villa / Townhouse,17444.000000000000000,15k-19k,2278.845675233854763,143095.556208689784398
Abu Dhabi City,41,Yas Island,1330,2021/202994,1275,Noya Viva,2021,Villa / Townhouse,12943.000000000000000,12k-14k,2032.546827421726221,206864.655735475622350
Abu Dhabi City,41,Yas Island,1330,2021/202994,1275,Noya Viva,2022,Villa / Townhouse,12899.000000000000000,12k-14k,2032.546827421726221,206864.655735475622350
Abu Dhabi City,41,Yas Island,1330,2021/202994,1275,Noya Viva,2023,Villa / Townhouse,12991.000000000000000,12k-14k,2032.546827421726221,206864.655735475622350
Abu Dhabi City,41,Yas Island,1330,2021/202994,1275,Noya Viva,2024,Villa / Townhouse,12976.000000000000000,12k-15k,2032.546827421726221,206864.655735475622350
Abu Dhabi City,41,Yas Island,1330,2021/202994,1275,Noya Viva,2025,Villa / Townhouse,17973.000000000000000,14k-20k,2032.546827421726221,206864.655735475622350
Abu Dhabi City,41,Al Reem Island,57,2020/681749,1270,Hydra Avenue,2019,Apartment / Duplex,16228.000000000000000,15k-17k,909.305516248724075,25720.203326523725991
Abu Dhabi City,41,Al Reem Island,57,2020/681749,1270,Hydra Avenue,2020,Apartment / Duplex,14701.000000000000000,14k-15k,909.305516248724075,25720.203326523725991
Abu Dhabi City,41,Al Reem Island,57,2020/681749,1270,Hydra Avenue,2021,Apartment / Duplex,10461.000000000000000,8k-14k,909.305516248724075,25720.203326523725991
Abu Dhabi City,41,Al Reem Island,57,2020/681749,1270,Hydra Avenue,2022,Apartment / Duplex,8795.000000000000000,8k-10k,909.305516248724075,25720.203326523725991
Abu Dhabi City,41,Al Reem Island,57,2020/681749,1270,Hydra Avenue,2023,Apartment / Duplex,8874.000000000000000,8k-10k,909.305516248724075,25720.203326523725991
Abu Dhabi City,41,Al Reem Island,57,2020/681749,1270,Hydra Avenue,2024,Apartment / Duplex,9711.000000000000000,9k-10k,909.305516248724075,25720.203326523725991
