municipality,municipality_id,district,district_id,year,typology,layout,transaction_type,value,volume,shape_Length,shape_Area
Abu Dhabi City,41,YAS ISLAND,1330,2020,All property types,studio,All types,51992975.469999998807907,81.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Office,Undefined,All types,78389000.000000000000000,2.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Other,Undefined,All types,173210948.400000005960464,13.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Plot,Undefined,All types,444286563.160000026226044,164.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Retail,Undefined,All types,14401800.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Villa / Townhouse,Undefined,All types,30982323.539999999105930,12.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,All property types,Undefined,All types,741270635.100000023841858,192.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Apartment / Duplex,1 bed,All types,231650134.539999991655350,216.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,1 bed,All types,231650134.539999991655350,216.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Apartment / Duplex,2 beds,All types,427070649.360000014305115,248.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Villa / Townhouse,2 beds,All types,2341950.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,2 beds,All types,429412599.360000014305115,249.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Apartment / Duplex,3 beds,All types,177628650.300000011920929,70.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Villa / Townhouse,3 beds,All types,72587536.599999994039536,22.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,3 beds,All types,250216186.900000005960464,92.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Villa / Townhouse,4 beds,All types,475186240.779999971389771,114.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,4 beds,All types,475186240.779999971389771,114.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Villa / Townhouse,5 beds,All types,1061162406.230000019073486,227.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,5 beds,All types,1061162406.230000019073486,227.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Villa / Townhouse,6+ beds,All types,24017040.000000000000000,5.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,6+ beds,All types,24017040.000000000000000,5.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Retail,line store,All types,6590932.000000000000000,5.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,line store,All types,6590932.000000000000000,5.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Apartment / Duplex,studio,All types,175619962.479999989271164,154.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,studio,All types,175619962.479999989271164,154.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,Plot,Undefined,All types,71940784.959999993443489,19.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2018,All property types,Undefined,All types,71940784.959999993443489,19.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Apartment / Duplex,1 bed,All types,27845666.800000000745058,28.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,1 bed,All types,27845666.800000000745058,28.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Apartment / Duplex,2 beds,All types,76562305.420000001788139,56.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Villa / Townhouse,2 beds,All types,7089566.000000000000000,3.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,2 beds,All types,83651871.420000001788139,59.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Apartment / Duplex,3 beds,All types,32168735.660000000149012,18.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Villa / Townhouse,3 beds,All types,333714968.199999988079071,102.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,3 beds,All types,365883703.860000014305115,120.000000000000000,23604.657354876042518,28738344.954181831330061
