plot_id,community_id,road_id,allocation_status,construction_status,plot_status,zone_tpss,service_status,area_calculated,development_type,landuse_code,elms_landuse_en,elms_landuse_ar,elms_allocation_en,elms_allocation_ar,sector_tpss,flat_id,gis_id,sector_plot_num,plot_number,community_name_eng,community_name_ara,dev_projectid,dev_far,devcode,max_gfa,municipality_name,district_id,district_name,dev_category,dev_description,elms_parentlanduse_e,elms_parentlanduse_a,created_user,created_date,last_edited_user,last_edited_date,estimatedarea,municipality_id,shape_Length,shape_Area
4380132,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.191131140000000,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380132,YN2_P170,P170,YN2,ياس شمال 02,1295,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,SDE,7/25/2024 5:45:49,,41,27.200329144131782,19.203387207256164
4380133,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.186394320000002,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380133,YN2_P171,P171,YN2,ياس شمال 02,1295,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,SDE,7/25/2024 5:45:49,,41,27.200747994568967,19.198830996312441
4380134,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.195082060000001,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380134,YN2_P172,P172,YN2,ياس شمال 02,1295,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,SDE,7/25/2024 5:45:49,,41,27.200752309693705,19.207421194855666
4380135,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.181838079999999,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380135,YN2_P173,P173,YN2,ياس شمال 02,1295,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,SDE,7/25/2024 5:45:49,,41,27.199117586201101,19.194721002247551
4380136,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.190391049999999,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380136,YN2_P174,P174,YN2,ياس شمال 02,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.199881276699585,19.202508505507833
4380137,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.189790400000000,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380137,YN2_P175,P175,YN2,ياس شمال 02,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.200497435977873,19.202312001823366
4380138,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.187263160000001,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380138,YN2_P176,P176,YN2,ياس شمال 02,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.200162009620509,19.200178401029994
4380139,5172,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.190338029999999,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN6,,10004380139,YN6_P46,P46,YN6,ياس شمال 6,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.200497434858580,19.202311994004447
4380140,5170,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.194016909999998,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN4,,10004380140,YN4_P38,P38,YN4,ياس شمال 4,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.201678728358921,19.206498449667478
4380141,5170,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.189925070000001,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN4,,10004380141,YN4_P37,P37,YN4,ياس شمال 4,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.200497434858580,19.202311994004447
