year,municipality,municipality_id,district,district_id,community,community_id,project_id,project_number,project_name,typology,layout,rent_type,lower_rent_value,upper_rent_value,avg_rent_value,lable,shape_Length,shape_Area
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,New,227135.000000000000000,283224.000000000000000,258339.000000000000000,258k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,Renewal,239272.500000000000000,284620.500000000000000,259837.500000000000000,260k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,All types,200669.000000000000000,232154.000000000000000,212988.000000000000000,213k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,New,190000.000000000000000,234358.000000000000000,214228.000000000000000,214k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,Renewal,208010.000000000000000,233623.000000000000000,216061.000000000000000,216k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,All types,269262.000000000000000,338147.000000000000000,304434.000000000000000,304k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,New,264270.000000000000000,332090.000000000000000,302450.000000000000000,302k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,Renewal,270535.000000000000000,335618.000000000000000,303614.000000000000000,304k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,All types,234965.500000000000000,285150.500000000000000,258711.000000000000000,259k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,New,227135.000000000000000,283224.000000000000000,258339.000000000000000,258k,1961.882293480008684,231947.188662939355709
2023,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,Renewal,239272.500000000000000,284620.500000000000000,259837.500000000000000,260k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,All types,169241.000000000000000,238000.000000000000000,202803.000000000000000,203k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,New,189481.000000000000000,245000.000000000000000,214322.000000000000000,214k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,Renewal,191223.000000000000000,246600.000000000000000,214419.000000000000000,214k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,All types,283500.000000000000000,360950.000000000000000,328498.000000000000000,328k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,New,334000.000000000000000,392000.000000000000000,354218.000000000000000,354k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,Renewal,269100.000000000000000,308430.000000000000000,290872.000000000000000,291k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,All types,226370.500000000000000,299475.000000000000000,265650.500000000000000,266k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,New,261740.500000000000000,318500.000000000000000,284270.000000000000000,284k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,Renewal,230161.500000000000000,277515.000000000000000,252645.500000000000000,253k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,All types,169241.000000000000000,238000.000000000000000,202803.000000000000000,203k,1961.882293480008684,231947.188662939355709
